"UT000000275";2;"01.03.2011";"31.03.2011"
"UT000000261";1;"01.03.2011";"31.03.2011"
"UT000000241";2;"01.04.2011";"30.04.2011"
"UT000000829";1;"01.08.2010";"31.05.2011"
"UT000000811";1;"01.01.2011";"28.02.2011"
"UT000000822";2;"14.03.2011";"14.07.2011"
"UT000000275";1;"01.04.2011";"30.06.2011"
"UT000000830";1;"01.05.2011";"30.06.2011"
"UT000000810";1;"01.01.2011";"31.12.2011"
"UT000000479";1;"01.03.2011";"31.03.2011"
"UT000000148";1;"01.05.2011";"30.06.2011"
"UT000000244";1;"10.06.2011";"20.06.2011"
"UT000000411";1;"01.05.2011";"30.06.2011"
"UT000000289";1;"01.01.2011";"31.01.2011"
"UT000000817";1;"16.08.2011";"15.09.2011"
"UT000000278";1;"01.01.2011";"31.03.2011"
"UT000000819";2;"01.01.2011";"31.01.2011"
"UT000000774";1;"01.04.2011";"15.01.2012"
"UT000000855";2;"01.09.2010";"28.02.2011"
"UT000000821";1;"16.09.2011";"15.10.2011"
"UT000000807";1;"01.04.2011";"30.04.2011"
"UT000000232";1;"01.01.2011";"31.12.2011"
"UT000000304";1;"01.01.2011";"31.01.2011"
"UT000000785";1;"01.01.2011";"28.02.2011"
"UT000000250";1;"01.01.2011";"31.01.2011"
"UT000000166";1;"01.05.2011";"31.05.2011"
"UT000000795";1;"01.01.2011";"31.01.2011"
"UT000000449";1;"01.07.2011";"30.07.2011"
"UT000000756";1;"01.06.2011";"31.12.2011"
"UT000000218";1;"01.02.2011";"30.04.2011"
"UT000000171";1;"01.05.2011";"30.06.2011"
"UT000000410";1;"01.05.2011";"30.06.2011"
"UT000000121";2;"01.01.2011";"31.01.2011"
"UT000000282";1;"01.01.2011";"28.02.2011"
"UT000000245";1;"01.05.2011";"31.12.2011"
"UT000000812";1;"01.05.2011";"31.05.2011"
"UT000000151";1;"01.05.2011";"30.06.2011"
"UT000000236";2;"01.01.2011";"31.01.2011"
"UT000000230";1;"01.04.2011";"31.05.2011"
"UT000000851";1;"01.02.2011";"30.03.2011"
"UT000000129";1;"01.04.2011";"30.06.2011"
"UT000000235";1;"01.09.2011";"30.11.2011"
"UT000000427";1;"01.07.2011";"31.07.2011"
"UT000000809";1;"01.03.2011";"31.03.2011"
"UT000000168";1;"01.01.2011";"31.01.2011"
"UT000000168";2;"01.03.2011";"31.05.2011"
"UT000000134";2;"01.01.2011";"31.01.2011"
"UT000000275";2;"01.01.2011";"31.01.2011"
"UT000000794";1;"12.04.2011";"10.05.2011"
"UT000000285";2;"01.04.2011";"30.04.2011"
"UT000000190";2;"01.04.2011";"30.04.2011"
"UT000000244";1;"01.06.2011";"08.06.2011"
"UT000000216";1;"01.01.2011";"31.12.2011"
"UT000000222";2;"01.01.2011";"31.01.2011"
"UT000000759";1;"01.03.2011";"30.04.2011"
"UT000000241";2;"01.02.2011";"28.02.2011"
"UT000000877";1;"01.06.2011";"30.06.2011"
"UT000000136";2;"01.01.2011";"31.01.2011"
"UT000000142";2;"01.04.2011";"31.03.2012"
"UT000000399";1;"01.07.2010";"31.12.2011"
"UT000000811";1;"01.09.2011";"31.12.2011"
"UT000000323";1;"01.01.2011";"30.06.2011"
"UT000000191";1;"01.07.2011";"30.09.2011"
"UT000000800";1;"01.04.2011";"30.04.2011"
"UT000000148";1;"01.07.2011";"31.08.2011"
"UT000000761";1;"01.01.2011";"31.01.2011"
"UT000000245";2;"01.02.2011";"28.02.2011"
"UT000000119";1;"01.04.2011";"30.04.2011"
"UT000000818";1;"07.07.2011";"06.08.2011"
"UT000000175";2;"01.01.2011";"31.01.2011"
"UT000000788";1;"01.01.2011";"31.12.2011"
"UT000000398";1;"01.07.2010";"31.12.2011"
"UT000000287";1;"01.04.2011";"30.04.2011"
"UT000000238";1;"01.05.2011";"30.06.2011"
"UT000000324";1;"01.01.2011";"31.12.2011"
"UT000000283";1;"01.03.2011";"31.12.2011"
"UT000000748";1;"01.01.2011";"30.06.2011"
"UT000000262";2;"01.11.2010";"01.04.2011"
"UT000000250";1;"01.02.2011";"31.05.2011"
"UT000000230";1;"01.08.2011";"30.09.2011"
"UT000000716";1;"01.06.2011";"31.08.2011"
"UT000000196";1;"15.04.2011";"31.10.2011"
"UT000000877";1;"01.04.2011";"30.04.2011"
"UT000000761";1;"01.06.2011";"30.06.2011"
"UT000000169";1;"15.11.2010";"30.04.2011"
"UT000000717";1;"01.06.2011";"30.06.2011"
"UT000000269";2;"01.09.2010";"28.02.2011"
"UT000000195";2;"01.04.2011";"30.04.2011"
"UT000000420";1;"01.01.2011";"30.06.2011"
"UT000000427";1;"01.05.2011";"30.06.2011"
"UT000000293";1;"01.04.2011";"30.04.2011"
"UT000000421";1;"01.01.2011";"30.06.2011"
"UT000000778";1;"01.04.2011";"31.12.2011"
"UT000000298";2;"01.01.2011";"31.01.2011"
"UT000000185";1;"01.06.2011";"31.08.2011"
"UT000000297";2;"01.01.2011";"31.01.2011"
"UT000000279";2;"01.01.2011";"31.01.2011"
"UT000000322";1;"01.01.2011";"30.06.2011"
"UT000000373";1;"01.07.2010";"31.12.2011"
"UT000000132";1;"15.06.2011";"15.09.2011"
"UT000000325";1;"01.01.2011";"31.12.2011"
"UT000000480";1;"13.12.2010";"13.01.2011"
"UT000000305";1;"01.04.2011";"30.04.2011"
"UT000000124";1;"16.05.2011";"30.06.2011"
"UT000000254";1;"01.01.2011";"31.01.2011"
"UT000000792";1;"01.01.2011";"31.03.2011"
"UT000000265";1;"01.01.2011";"31.12.2011"
"UT000000801";1;"01.07.2011";"31.07.2011"
"UT000000807";1;"01.02.2011";"28.02.2011"
"UT000000409";1;"01.01.2011";"31.12.2011"
"UT000000318";1;"28.03.2011";"10.04.2011"
"UT000000801";1;"01.01.2011";"28.02.2011"
"UT000000791";1;"01.04.2011";"31.05.2011"
"UT000000219";1;"01.04.2011";"31.10.2011"
"UT000000821";1;"01.01.2011";"31.03.2011"
"UT000000372";1;"01.07.2010";"31.12.2011"
"UT000000209";1;"01.09.2011";"30.11.2011"
"UT000000814";1;"01.02.2011";"31.05.2011"
"UT000000133";1;"01.01.2011";"31.12.2011"
"UT000000479";1;"01.05.2011";"30.05.2011"
"UT000000196";1;"01.01.2011";"31.01.2011"
"UT000000378";1;"01.01.2011";"30.06.2011"
"UT000000807";1;"01.05.2011";"30.06.2011"
"UT000000833";2;"01.09.2010";"28.02.2011"
"UT000000356";1;"28.03.2011";"10.04.2011"
"UT000000206";1;"01.09.2011";"30.11.2011"
"UT000000222";2;"01.03.2011";"31.03.2011"
"UT000000257";1;"01.01.2011";"31.01.2011"
"UT000000117";2;"01.03.2011";"31.05.2011"
"UT000000811";1;"01.01.2012";"31.01.2012"
"UT000000252";1;"01.04.2011";"30.04.2011"
"UT000000168";1;"01.02.2011";"28.02.2011"
"UT000000306";2;"01.01.2011";"31.01.2011"
"UT000000800";1;"01.07.2011";"31.07.2011"
"UT000000233";2;"01.09.2010";"28.02.2011"
"UT000000211";1;"01.01.2011";"31.12.2011"
"UT000000789";1;"01.05.2011";"31.08.2011"
"UT000000404";1;"01.01.2011";"31.12.2011"
"UT000000195";1;"01.05.2011";"31.05.2011"
"UT000000002";1;"01.08.2011";"30.10.2011"
"UT000000153";1;"01.11.2010";"31.03.2011"
"UT000000292";1;"01.04.2011";"31.05.2011"
"UT000000828";1;"21.03.2011";"20.06.2011"
"UT000000813";1;"01.01.2011";"31.01.2011"
"UT000000123";1;"17.12.2010";"16.01.2011"
"UT000000161";1;"01.01.2011";"31.12.2011"
"UT000000186";1;"01.06.2011";"30.09.2011"
"UT000000362";1;"01.07.2011";"31.07.2011"
"UT000000128";2;"01.01.2011";"31.01.2011"
"UT000000209";1;"23.05.2011";"23.08.2011"
"UT000000479";2;"01.07.2011";"31.08.2011"
"UT000000435";1;"01.06.2011";"31.07.2011"
"UT000000327";1;"28.03.2011";"10.04.2011"
"UT000000194";1;"01.04.2011";"30.09.2011"
"UT000000205";1;"01.06.2011";"31.08.2011"
"UT000000189";2;"01.05.2011";"31.05.2011"
"UT000000297";1;"01.06.2011";"30.06.2011"
"UT000000222";2;"01.01.2011";"31.01.2011"
"UT000000240";1;"01.05.2011";"30.06.2011"
"UT000000186";1;"01.01.2011";"28.02.2011"
"UT000000365";1;"01.06.2011";"30.06.2011"
"UT000000277";1;"01.04.2011";"30.04.2011"
"UT000000147";1;"01.01.2011";"31.12.2011"
"UT000000321";1;"28.03.2011";"10.04.2011"
"UT000000128";2;"01.01.2011";"31.01.2011"
"UT000000419";1;"01.01.2011";"31.12.2011"
"UT000000131";2;"01.03.2011";"31.05.2011"
"UT000000188";1;"01.03.2011";"31.03.2011"
"UT000000807";1;"01.03.2011";"31.03.2011"
"UT000000137";1;"01.01.2011";"31.12.2011"
"UT000000961";1;"01.05.2011";"30.06.2011"
"UT000000480";1;"01.06.2011";"08.06.2011"
"UT000000802";1;"01.10.2011";"31.12.2011"
"UT000000275";1;"01.07.2011";"31.08.2011"
"UT000000184";1;"01.06.2011";"30.06.2011"
"UT000000240";1;"01.04.2011";"30.04.2011"
"UT000000236";1;"01.06.2011";"31.08.2011"
"UT000000786";1;"01.10.2011";"31.12.2011"
"UT000000407";1;"06.04.2011";"31.12.2011"
"UT000000363";1;"01.05.2011";"30.06.2011"
"UT000000192";1;"15.03.2011";"15.06.2011"
"UT000000751";1;"01.05.2011";"31.07.2011"
"UT000000762";1;"01.10.2011";"31.12.2011"
"UT000000801";1;"08.04.2011";"30.04.2011"
"UT000000426";1;"01.07.2011";"31.07.2011"
"UT000000821";1;"15.04.2011";"20.05.2011"
"UT000000298";2;"01.04.2011";"30.04.2011"
"UT000000761";1;"01.08.2011";"31.08.2011"
"UT000000260";2;"01.12.2011";"31.12.2011"
"UT000000186";1;"01.03.2011";"31.05.2011"
"UT000000811";1;"01.06.2011";"30.06.2011"
"UT000000278";1;"01.05.2011";"31.12.2011"
"UT000000842";2;"20.01.2011";"06.02.2011"
"UT000000218";1;"01.08.2011";"30.09.2011"
"UT000000819";1;"01.03.2011";"31.03.2011"
"UT000000171";1;"01.04.2011";"30.04.2011"
"UT000000809";1;"01.10.2011";"31.10.2011"
"UT000000162";1;"01.01.2011";"31.12.2011"
"UT000000793";1;"11.07.2011";"14.08.2011"
"UT000000246";1;"01.02.2011";"31.03.2011"
"UT000000795";1;"01.06.2011";"30.11.2011"
"UT000000783";1;"01.05.2011";"31.07.2011"
"UT000000350";1;"28.03.2011";"10.04.2011"
"UT000000224";1;"01.03.2011";"30.04.2011"
"UT000000813";1;"01.02.2011";"28.02.2011"
"UT000000206";1;"01.03.2011";"31.03.2011"
"UT000000119";1;"01.07.2011";"30.09.2011"
"UT000000146";1;"01.03.2011";"31.03.2011"
"UT000000308";1;"15.03.2011";"31.03.2011"
"UT000000239";1;"01.04.2011";"30.04.2011"
"UT000000754";1;"01.01.2011";"30.06.2011"
"UT000000259";1;"01.01.2011";"31.01.2011"
"UT000000275";2;"01.01.2011";"31.01.2011"
"UT000000809";1;"01.05.2011";"31.05.2011"
"UT000000278";1;"01.04.2011";"30.04.2011"
"UT000000289";1;"01.03.2011";"31.05.2011"
"UT000000251";1;"01.04.2011";"30.04.2011"
"UT000000816";1;"01.05.2011";"31.08.2011"
"UT000000757";1;"04.04.2011";"31.12.2011"
"UT000000306";2;"01.01.2011";"31.01.2011"
"UT000000261";1;"01.04.2011";"30.04.2011"
"UT000000717";1;"01.04.2011";"30.04.2011"
"UT000000793";1;"01.03.2011";"30.04.2011"
"UT000000406";1;"06.04.2011";"31.12.2011"
"UT000000229";1;"01.03.2011";"31.03.2011"
"UT000000210";1;"01.01.2011";"31.12.2011"
"UT000000778";1;"01.01.2011";"31.03.2011"
"UT000000247";2;"01.03.2011";"31.05.2011"
"UT000000878";1;"01.04.2011";"31.12.2011"
"UT000000298";2;"01.01.2011";"31.01.2011"
"UT000000796";1;"01.12.2010";"06.02.2011"
"UT000000188";1;"01.04.2011";"30.04.2011"
"UT000000138";2;"01.07.2011";"31.07.2011"
"UT000000134";1;"01.03.2011";"31.03.2011"
"UT000000260";1;"01.03.2011";"30.04.2011"
"UT000000829";1;"01.10.2011";"30.11.2011"
"UT000000171";1;"01.02.2011";"28.02.2011"
"UT000000365";2;"01.07.2011";"31.07.2011"
"UT000000258";1;"01.02.2011";"31.03.2011"
"UT000000126";1;"16.05.2011";"30.06.2011"
"UT000000403";1;"25.03.2011";"25.04.2011"
"UT000000807";1;"01.11.2011";"30.11.2011"
"UT000000125";1;"01.04.2011";"30.04.2011"
"UT000000240";1;"01.03.2011";"31.03.2011"
"UT000000120";1;"01.02.2011";"30.04.2011"
"UT000000261";1;"01.01.2011";"31.01.2011"
"UT000000346";1;"28.03.2011";"10.04.2011"
"UT000000817";1;"01.04.2011";"30.04.2011"
"UT000000140";1;"01.03.2011";"31.03.2011"
"UT000000224";1;"01.09.2011";"30.11.2011"
"UT000000838";1;"01.03.2011";"31.03.2011"
"UT000000221";1;"01.04.2011";"30.09.2011"
"UT000000115";1;"01.03.2011";"30.03.2011"
"UT000000145";1;"01.04.2011";"30.04.2011"
"UT000000266";1;"01.01.2011";"31.12.2011"
"UT000000831";1;"01.07.2011";"31.07.2011"
"UT000000136";2;"01.01.2011";"31.01.2011"
"UT000000135";1;"01.03.2011";"30.06.2011"
"UT000000758";2;"01.06.2011";"30.06.2011"
"UT000000850";1;"01.03.2011";"30.04.2011"
"UT000000126";1;"15.03.2011";"15.05.2011"
"UT000000175";1;"01.04.2011";"31.12.2011"
"UT000000246";1;"01.01.2011";"31.01.2011"
"UT000000822";1;"01.09.2010";"31.01.2011"
"UT000000269";1;"14.03.2011";"13.04.2011"
"UT000000279";2;"01.01.2011";"31.01.2011"
"UT000000134";1;"01.05.2011";"31.05.2011"
"UT000000235";1;"01.03.2011";"30.04.2011"
"UT000000215";1;"01.11.2011";"30.11.2011"
"UT000000119";1;"01.01.2011";"31.01.2011"
"UT000000786";1;"01.03.2011";"31.05.2011"
"UT000000140";1;"21.01.2011";"21.02.2011"
"UT000000964";1;"01.06.2011";"31.08.2011"
"UT000000303";1;"01.04.2011";"30.04.2011"
"UT000000812";1;"01.04.2011";"30.04.2011"
"UT000000418";1;"01.01.2011";"31.12.2011"
"UT000000117";1;"17.12.2010";"16.01.2011"
"UT000000238";1;"01.01.2011";"28.02.2011"
"UT000000123";1;"01.06.2011";"31.07.2011"
"UT000000302";2;"01.04.2011";"30.04.2011"
"UT000000762";1;"01.01.2011";"31.03.2011"
"UT000000417";1;"01.01.2011";"31.12.2011"
"UT000000259";1;"01.09.2011";"30.11.2011"
"UT000000206";2;"01.02.2011";"28.02.2011"
"UT000000416";1;"01.01.2011";"31.12.2011"
"UT000000379";1;"01.01.2011";"30.06.2011"
"UT000000191";2;"20.01.2011";"06.02.2011"
"UT000000295";2;"20.01.2011";"06.02.2011"
"UT000000830";1;"01.03.2011";"31.03.2011"
"UT000000153";1;"01.04.2011";"30.04.2011"
"UT000000293";1;"01.01.2011";"31.01.2011"
"UT000000326";1;"01.08.2010";"31.12.2011"
"UT000000298";2;"01.03.2011";"31.03.2011"
"UT000000304";1;"01.04.2011";"30.04.2011"
"UT000000204";1;"01.04.2011";"30.04.2011"
"UT000000818";1;"01.05.2011";"05.06.2011"
"UT000000193";1;"21.01.2011";"21.02.2011"
"UT000000279";2;"01.03.2011";"31.03.2011"
"UT000000123";1;"01.09.2011";"31.10.2011"
"UT000000882";1;"01.04.2011";"30.04.2011"
"UT000000260";1;"01.10.2011";"30.11.2011"
"UT000000794";1;"01.09.2011";"30.11.2011"
"UT000000761";1;"01.11.2011";"30.11.2011"
"UT000000402";1;"26.04.2011";"31.12.2011"
"UT000000239";1;"01.03.2011";"31.03.2011"
"UT000000289";1;"01.06.2011";"30.06.2011"
"UT000000122";2;"01.04.2011";"30.04.2011"
"UT000000134";1;"01.04.2011";"30.04.2011"
"UT000000242";1;"01.03.2011";"31.12.2011"
"UT000000761";1;"01.03.2011";"31.05.2011"
"UT000000802";1;"01.03.2011";"31.05.2011"
"UT000000809";1;"01.04.2011";"30.04.2011"
"UT000000175";2;"20.01.2011";"06.02.2011"
"UT000000287";1;"01.06.2011";"31.08.2011"
"UT000000785";2;"01.04.2011";"30.04.2011"
"UT000000186";1;"01.10.2011";"31.12.2011"
"UT000000405";1;"01.01.2011";"31.12.2011"
"UT000000248";1;"01.04.2011";"30.04.2011"
"UT000000215";1;"01.03.2011";"31.05.2011"
"UT000000826";1;"13.04.2011";"13.05.2011"
"UT000000302";2;"01.03.2011";"31.03.2011"
"UT000000764";1;"01.07.2011";"30.07.2011"
"UT000000230";2;"20.01.2011";"06.02.2011"
"UT000000882";1;"01.05.2011";"30.09.2011"
"UT000000283";1;"01.01.2011";"28.02.2011"
"UT000000187";1;"01.04.2011";"30.04.2011"
"UT000000402";1;"25.03.2011";"25.04.2011"
"UT000000261";1;"01.02.2011";"28.02.2011"
"UT000000809";1;"01.12.2011";"31.12.2011"
"UT000000818";1;"01.03.2011";"30.04.2011"
"UT000000288";1;"01.04.2011";"30.04.2011"
"UT000000801";1;"01.05.2011";"30.06.2011"
"UT000000188";1;"01.08.2011";"31.08.2011"
"UT000000229";1;"01.04.2011";"30.06.2011"
"UT000000307";2;"01.03.2011";"31.12.2011"
"UT000000308";1;"25.07.2011";"24.08.2011"
"UT000000253";2;"01.04.2011";"30.04.2011"
"UT000000818";1;"06.06.2011";"06.07.2011"
"UT000000281";1;"01.05.2011";"30.06.2011"
"UT000000292";1;"01.07.2011";"31.08.2011"
"UT000000152";2;"01.04.2011";"30.04.2011"
"UT000000356";1;"01.05.2011";"30.06.2011"
"UT000000800";1;"01.06.2011";"30.06.2011"
"UT000000115";2;"01.06.2011";"30.06.2011"
"UT000000263";1;"15.06.2011";"09.07.2011"
"UT000000263";1;"13.04.2011";"15.05.2011"
"UT000000237";1;"20.04.2011";"26.04.2011"
"UT000000193";1;"15.04.2011";"15.10.2011"
"UT000000321";1;"17.06.2011";"17.09.2011"
"UT000000128";1;"15.03.2011";"15.05.2011"
"UT000000142";1;"01.01.2011";"31.03.2011"
"UT000000819";1;"01.04.2011";"30.03.2012"
"UT000000250";1;"01.06.2011";"30.06.2011"
"UT000000277";1;"01.05.2011";"31.05.2011"
"UT000000813";1;"01.04.2011";"30.03.2012"
"UT000000222";1;"15.04.2011";"15.10.2011"
"UT000000410";1;"01.07.2011";"31.07.2011"
"UT000000276";1;"01.08.2011";"30.09.2011"
"UT000000254";2;"07.06.2011";"13.06.2011"
"UT000000760";1;"01.03.2011";"31.05.2011"
"UT000000185";2;"15.04.2011";"15.05.2011"
"UT000000789";1;"01.04.2011";"30.04.2011"
"UT000000280";1;"01.05.2011";"31.08.2011"
"UT000000284";1;"01.04.2011";"30.04.2011"
"UT000000218";1;"01.06.2011";"30.06.2011"
"UT000000962";1;"01.05.2011";"30.06.2011"
"UT000000799";1;"01.06.2011";"31.07.2011"
"UT000000426";1;"01.05.2011";"30.06.2011"
"UT000000812";1;"18.07.2011";"16.08.2011"
"UT000000362";1;"01.05.2011";"30.06.2011"
"UT000000961";1;"01.07.2011";"31.07.2011"
"UT000000187";1;"01.07.2011";"31.07.2011"
"UT000000291";1;"26.04.2011";"25.05.2011"
"UT000000823";1;"15.04.2011";"15.07.2011"
"UT000000188";1;"01.05.2011";"31.05.2011"
"UT000000151";1;"01.04.2011";"30.04.2011"
"UT000000809";1;"01.01.2012";"31.01.2012"
"UT000000191";1;"01.05.2011";"30.06.2011"
"UT000000128";1;"16.05.2011";"30.06.2011"
"UT000000285";1;"01.05.2011";"31.05.2011"
"UT000000798";1;"01.05.2011";"31.05.2011"
"UT000000305";1;"01.07.2011";"31.08.2011"
"UT000000447";1;"01.05.2011";"30.06.2011"
"UT000000786";1;"01.06.2011";"30.06.2011"
"UT000000212";1;"01.12.2010";"30.04.2011"
"UT000000356";1;"01.07.2011";"31.07.2011"
"UT000000276";1;"01.05.2011";"31.05.2011"
"UT000000148";1;"01.03.2011";"31.03.2011"
"UT000000355";1;"01.06.2011";"30.06.2011"
"UT000000123";1;"01.03.2011";"30.04.2011"
"UT000000218";2;"01.05.2011";"31.05.2011"
"UT000000187";1;"01.05.2011";"30.06.2011"
"UT000000274";1;"01.08.2011";"30.09.2011"
"UT000000785";1;"01.06.2011";"30.11.2011"
"UT000000809";1;"01.11.2011";"30.11.2011"
"UT000000799";1;"01.04.2011";"30.04.2011"
"UT000000121";1;"01.06.2011";"30.06.2011"
"UT000000122";1;"20.05.2011";"04.07.2011"
"UT000000138";2;"01.06.2011";"30.06.2011"
"UT000000274";1;"01.06.2011";"30.06.2011"
"UT000000288";1;"01.06.2011";"31.08.2011"
"UT000000809";1;"01.06.2011";"30.06.2011"
"UT000000260";2;"01.12.2011";"31.12.2011"
"UT000000814";1;"01.06.2011";"31.07.2011"
"UT000000115";2;"01.09.2011";"30.11.2011"
"UT000000139";1;"01.07.2011";"30.07.2011"
"UT000000308";1;"01.04.2011";"30.04.2011"
"UT000000129";1;"01.07.2011";"30.09.2011"
"UT000000479";1;"01.06.2011";"30.06.2011"
"UT000000815";1;"01.07.2011";"30.09.2011"
"UT000000146";1;"20.05.2011";"30.06.2011"
"UT000000829";1;"01.06.2011";"30.06.2011"
"UT000000140";1;"01.06.2011";"30.11.2011"
"UT000000800";1;"01.01.2012";"31.01.2012"
"UT000000117";2;"01.04.2011";"30.04.2011"
"UT000000115";2;"01.04.2011";"30.04.2011"
"UT000000167";2;"01.05.2011";"31.05.2011"
"UT000000166";2;"01.04.2011";"30.04.2011"
"UT000000279";2;"01.04.2011";"30.04.2011"
"UT000000117";2;"01.05.2011";"31.05.2011"
"UT000000172";1;"01.04.2011";"30.04.2011"
"UT000000217";1;"01.06.2011";"30.06.2011"
"UT000000320";1;"17.06.2011";"17.09.2011"
"UT000000809";1;"01.08.2011";"31.08.2011"
"UT000000794";2;"01.06.2011";"30.06.2011"
"UT000000811";1;"01.08.2011";"31.08.2011"
"UT000000230";1;"01.06.2011";"30.06.2011"
"UT000000131";1;"21.06.2011";"27.09.2011"
"UT000000204";1;"01.08.2011";"30.09.2011"
"UT000000121";1;"01.05.2011";"31.05.2011"
"UT000000118";1;"01.11.2011";"31.12.2011"
"UT000000303";1;"01.05.2011";"31.08.2011"
"UT000000240";1;"01.08.2011";"31.12.2011"
"UT000000815";1;"01.04.2011";"30.06.2011"
"UT000000285";1;"01.06.2011";"30.06.2011"
"UT000000877";1;"01.01.2012";"31.01.2012"
"UT000000759";1;"01.06.2011";"30.11.2011"
