"ID";"Группа";"Наименование";"Артикул";"Комментарий";"НаименованиеПолное";"Саплаер";"Освещение";"Пиво";"Район";"Улица";"Размер";"Вид";"Сторона";"Популярность";"ЯндексКоординаты";"Цена";"Валюта"
"UT000000963";"Щиты 3*4";"Щит 3*4 ул.Республики, 225, Кафе Оазис, сторона В";"999В";"ул.Республики, кафе Оазис, расположен на путепроводе по направлению к выезду из города. Рядом Завод "Сантехкомплект", автоцентры.";"Размещение рекламной информации на щите 3*4 по адресу ул.Республики, 225, Кафе Оазис, сторона В, инв.";"ООО "Тюменьстройбыт"";"1";"0";"Центр";"Республики";"3,1*4,2";"Щит";"B";"Средняя";"57.120242,65.613985";7500;"RUB"
"UT000000964";"Щиты 3*4";"Щит 3*4 ул.Республики, 225, Кафе Оазис, сторона А";"999А";"ул.Республики, кафе Оазис, расположен на путепроводе по направлению вьезда в город. Рядом Завод "Сантехкомплект", автоцентры.";"Размещение рекламной информации на щите 3*4 по адресу ул.Республики, 225, Кафе Оазис, сторона А, инв.";"ООО "Тюменьстройбыт"";"1";"0";"Центр";"Республики";"3,1*4,2";"Щит";"A";"Средняя";"57.120242,65.613985";9000;"RUB"
"UT000000002";"Брандмауэр";"Брандмауэр, Мельникайте, 129";"1а";"Брандмауэр расположен на ул. Мельникайте в направлении движения к путепроводу, соединяющему  центр  города и спальные районы. Рядом расположены самые крупные  ТЦ Порт, ТЦ Южный, ТРЦ Премьер, ТРЦ Фаворит";"Аренда конструкции на фасаде здания по адресу: Мельникайте, 129";"ООО "Компания МИР"";"1";"0";"Спальные";"Мельникайте";"12*20";"Брандмауэр";"A";"4";"57.124283,65.553603";72000;"RUB"
"UT000000716";"Щиты 3*6";"Щит 3*6 ул.Дружбы - Тобольский тр/Мельникайте, (поворот на Тарманы), сторона В";"74В";"Тобольский тр. - Мельникайте";"Размещение рекламной информации на щите 3*6 по адресу ул.Тобольский тр/Мельникайте, сторона В, инв.74В";"ООО "Тюменьстройбыт"";"1";"1";"Объездная";"Тобольский тракт";"3*6";"Щит";"B";"Средняя";"57.177694,65.606336";18000;"RUB"
"UT000000717";"Щиты 3*6";"Щит 3*6 ул.Червишевский тракт - Мира, (РОТОР), сторона А3";"167А3";"Червишевский тракт - Мира роторная. Билборд установлен на ул.Червишевский тракт, в 250м. от путепровода, соединяющего жилые районы Червишевского и Московского тр.с центром города и загруженного в часы пик.  Ст. А - из центра города в жилые микрорайоны.";"Размещение рекламной информации на щите 3*6 по адресу ул.Червишевский тракт-Мира, РОТОР,  сторона А3 инв.167А3";"ООО "Тюменьстройбыт"";"2";"1";"Спальные";"Червишевский тракт";"3*6";"Щит";"A";"Средняя";"57.140825,65.527166";19500;"RUB"
"UT000000749";"Брандмауэр";"Брандмауэр, 50 лет ВЛКСМ, 107";"2а";"Брандмауэр расположен на ул. 50 лет ВЛКСМ";"Аренда конструкции на фасаде здания по адресу: 50 лет ВЛКСМ, 107";"ООО "Компания МИР"";"0";"0";"Спальные";"50 лет ВЛКСМ";"10*12";"Брандмауэр";"A";"5";"57.124428,65.585959";36000;"RUB"
"UT000000750";"Брандмауэр";"Брандмауэр, Республики, 233";"3а";"2-ой по размеру брандмауэр в городе отлично просматривается с 2-х магистралей с интенсивным потоком транспорта: ул. 50 лет Октября и ул.Республики. Работает в направлении движения к АВТОГРАДу.";"Аренда конструкции на фасаде здания по адресу: Республики, 233";"ООО "Компания МИР"";"0";"0";"Центр";"Республики";"10*20";"Брандмауэр";"A";"4";"57.120711,65.616291";39000;"RUB"
"UT000000751";"Брандмауэр";"Брандмауэр, Мельникайте, 113";"4а";"Брандмауер расположен на ул.Мельникайте";"Аренда конструкции на фасаде здания по адресу: Мельникайте, 113";"ООО "Компания МИР"";"0";"0";"Спальные";"Мельникайте";"12*12";"Брандмауэр";"A";"12";"57.134394,65.566414";72000;"RUB"
"UT000000752";"Брандмауэр";"Брандмауэр, 50 лет Октября, 76";"5а";"Брандмауер расположен на ул.50 лет Октября, 76";"Аренда конструкции на фасаде здания по адресу: 50 лет Октября, 76";"ООО "Компания МИР"";"0";"0";"Центр";"50 лет Октября";"12*12";"Брандмауэр";"A";"7";"57.13787,65.595078";36000;"RUB"
"UT000000753";"Брандмауэр";"Брандмауэр, 50 лет Октября - Профсоюзная, 17";"6а";"Брандмауэр находится вблизи перекрестка улиц - 50 лет Октября и Профсоюзная. Поток транспорта составляет 8000 машин в час. Одна из наиболее загруженных транспортных рязвязок города.";"Аренда конструкции на фасаде здания по адресу: Профсоюзная, 17";"ООО "Компания МИР"";"2";"0";"Центр";"50 лет Октября";"12*17";"Брандмауэр";"A";"3";"57.154565,65.564429";40800;"RUB"
"UT000000754";"Брандмауэр";"Брандмауэр, Орджоникидзе, 65";"7а";"Бок.части 10,40х1,9, центр 2,45х3. В самом центре, на пересечении ул Герцена и Орджоникидзе, рядом с ЦУМом, тюм. цирком, и главной пешеходной зоной.";"Аренда конструкции на фасаде здания по адресу: Орджоникидзе 65";"ООО "Компания МИР"";"0";"0";"Центр";"Республики";"10,40*2";"Брандмауэр";"A";"7";"57.148344,65.540258";30000;"RUB"
